Term ID	Label	Parent Term	Definition	GECKO Category	Suggested Categories	Comment
GE:ic_nicip_desc	Imaging Code (NICIP) Description	Imaging Codes	Based on submitted field Imaging Code (NICIP), returning text description of NICIP Code	survey administration		standardized codes for imaging procedures	
GE:indicators	Indicators						
GE:complete	Complete	Indicators	Indicates that there is a complete Q1 and Q2.	survey administration		indicator if Q1 and Q2 are complete	
GE:circulation	Circulation	Indicators	"Response to corresponding Q1 general health question:
 Have you been told by a doctor that you have leg pain when walking due to poor circulation?"	signs and symptoms		leg pain due to poor circulation	
GE:liver_disease	Liver Disease	Indicators	Have you been told by a doctor that you have liver disease?	endocrine/nutritional/metabolic disorders			
GE:arthritis	Arthritis Indicator	Indicators	Response to corresponding Q1 general health question: Have you been told by a doctor that you have arthritis?	diseases			
GE:diabetes	Diabetes	Indicators	"Response to corresponding Q1 general health question: 
 Have you been told by a doctor that you have diabetes?"	endocrine/nutritional/metabolic disorders			
GE:depression	Depression	Indicators	Response to corresponding Q1 general health question: Have you been told by a doctor that you have depression?	mental and behaviour disorders			
GE:nervous_system	nervous_system	Indicators	Have you been told by a doctor that you have diseases of the nervous system?	nervous system			
GE:stroke	stroke	Indicators	Have you been told by a doctor that you have problems caused by a stroke?	signs and symptoms			
GE:cancer	Cancer Indicator	Indicators	Response to corresponding Q1 general health question: Have you been told by a doctor that you have cancer?	oncological			
GE:lung_disease	Lung Disease	Indicators	Have you been told by a doctor that you have lung disease?	respiratory system			
GE:heart_disease	Heart Disease Indicator	Indicators	Response to corresponding Q1 general health question: Have you been told by a doctor that you have heart disease?	circulatory system			
GE:high_bp	High Blood Pressiure Indicator	Indicators	"Response to corresponding Q1 general health question:
 Have you been told by a doctor that you have high blood pressure?"	signs and symptoms			
GE:kidney_disease	Kidney Disease	Indicators	Have you been told by a doctor that you have kidney disease?	endocrine/nutritional/metabolic disorders			
GE:knee_replacement_q1	Knee Replacement - Q1						
GE:kr_q1_confidence	Q1 - KR10	Knee Replacement - Q1	During the past 4 weeks, have you felt that your knee might suddenly 'give way' or let you down?	signs and symptoms			
GE:kr_q1_kneeling	Q1 - KR8	Knee Replacement - Q1	During the past 4 weeks, could you kneel down and get up again afterwards	signs and symptoms			
GE:kr_q1_limping	Q1-KR7	Knee Replacement - Q1	During the past 4 weeks, have you been limping when walking, because of your knee?	signs and symptoms			
GE:kr_q1_night_pain	Q1-KR2	Knee Replacement - Q1	During the past 4 weeks, have you been troubled by pain from your knee in bed at night?	signs and symptoms			
GE:kr_q1_pain	Q1-KR1	Knee Replacement - Q1	During the past 4 weeks, how would you describe the pain you usually had from your knee?	signs and symptoms			
GE:kr_q1_score	Q1-KR5	Knee Replacement - Q1	value of appropraite score for Knee Replacement for Q1	signs and symptoms			
GE:kr_q1_shopping	Q1-KR11	Knee Replacement - Q1	During the past 4 weeks, could you do the household shopping on your own?	signs and symptoms			
GE:kr_q1_stairs	Q1-KR12	Knee Replacement - Q1	During the past 4 weeks, could you walk down one flight of stairs?	signs and symptoms			
GE:kr_q1_standing	Q1-KR6	Knee Replacement - Q1	During the past 4 weeks, after a meal (sat at a table), how painful has it been for you to stand up from a chair because of your knee?	signs and symptoms			
GE:kr_q1_transport	Q1-KR4	Knee Replacement - Q1	During the past 4 weeks, have you had any trouble getting in or out of your car or using public transport because of your knee?	signs and symptoms			
GE:kr_q1_walking	Q1-KR5	Knee Replacement - Q1	During the past 4 weeks, for how long have you been able to walk before pain from your knee becomes severe? (with or without a stick)	signs and symptoms			
GE:kr_q1_washing	Q1-KR3	Knee Replacement - Q1	During the past 4 weeks, have you had trouble washing and drying yourself (all over) because of your knee	signs and symptoms			
GE:kr_q1_work	Q1-KR9	Knee Replacement - Q1	During the past 4 weeks, how much has pain from your knee interfered with your usual work (including housework)?	signs and symptoms			
GE:knee_replacement_q2	Knee Replacement - Q2						
GE:kr_q2_score_complete	kr_q2_score_complete	Knee Replacement - Q2	Indicates whether the submitted questionnaire has sufficient procedure specific data to derive a score	survey administration			
GE:kr_q2_stairs	kr_q2_stairs	Knee Replacement - Q2	During the past 4 weeks, could you walk down one flight of stairs?	signs and symptoms			
GE:kr_q2_confidence	Q2-KR10	Knee Replacement - Q2	During the past 4 weeks, have you felt that your knee might suddenly 'give way' or let you down?	signs and symptoms			
GE:kr_q2_kneeling	Q2-KR8	Knee Replacement - Q2	During the past 4 weeks, could you kneel down and get up again afterwards?	signs and symptoms			
GE:kr_q2_limping	Q2-KR7	Knee Replacement - Q2	During the past 4 weeks, have you been limping when walking, because of your knee?	signs and symptoms			
GE:kr_q2_night_pain	Q2-KR2	Knee Replacement - Q2	During the past 4 weeks, have you been troubled by pain from your knee in bed at night?	signs and symptoms			
GE:kr_q2_pain	Q2-KR1	Knee Replacement - Q2	During the past 4 weeks, how would you describe the pain you usually had from your knee?	signs and symptoms			
GE:kr_q2_shopping	Q2-KR11	Knee Replacement - Q2	During the past 4 weeks, could you do the household shopping on your own?	signs and symptoms			
GE:kr_q2_standing	Q2-KR6	Knee Replacement - Q2	During the past 4 weeks, after a meal (sat at a table), how painful has it been for you to stand up from a chair because of your knee?	signs and symptoms			
GE:kr_q2_transport	Q2-KR4	Knee Replacement - Q2	During the past 4 weeks, have you had any trouble getting in or out of your car or using public transport because of your knee?	signs and symptoms			
